id_wilayah ,Nama_Kabkota,nama_prov
11.71,Banda Aceh,Aceh
36.73,Serang,Banten
31.75,Jakarta Timur,DKI Jakarta
75.71,Gorontalo,Gorontalo
32.76,Depok,Jawa Barat 
32.01,Kabupaten Bogor,Jawa Barat 
32.11,Sumedang ,Jawa Barat 
33.74,Semarang ,Jawa Tengah 
33.72,Surakarta,Jawa Tengah 
35.78,Surabaya ,Jawa Timur
35.73,Malang ,Jawa Timur
61.71,Pontianak,Kalimantan Barat
63.71,Banjarmasin,Kalimantan Selatan
64.71,Balikpapan ,Kalimantan Timur
64.72,Samarinda,Kalimantan Timur
81.71,Ambon ,Maluku 
91.71,Jayapura,Papua 
14.71,Pekanbaru,Riau
17.71,Bengkulu ,Riau
73.71,Makasar ,Sulawesi Selatan
72.71,Palu,Sulawesi Tengah
74.71,Kendari,Sulawesi Tenggara
13.71,Padang ,Sumatera Barat
12.71,Medan ,Sumatera Utara
34.04,Sleman,Yogyakarta
